title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
Toyota Land Cruiser 2018,"35,000,000",Toyota,Land Cruiser,2018,,Automatic,,Petrol,,Abuja,31
2014 Mercedes Benz GLK 350 4Matic,"8,200,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lagos,41304
2008 Mercedes Benz C300 4matic,"5,000,000",Mercedes,C -class,2008,,Automatic,,Petrol,,Abuja,41304
Range Rover Vogue,"6,000,000",Land rover,Range Rover,2008,,Automatic,,Petrol,,Lagos,100000
2005 Toyota Corolla,"2,100,000",Toyota,Corolla,2005,,Automatic,,Petrol,,Lagos,40601
2011 Mercedes Benz E350 4Matic,"8,000,000",Mercedes,E -class,2011,,Automatic,,Petrol,,Abuja,48000
Mercedes Benz Ml 350,"2,550,000",Mercedes,M -class,2004,,Automatic,,Petrol,,Ibadan,135000
 Dodge Charger 2014,"8,000,000",Dodge,Charger,2014,,Automatic,,Petrol,,Lagos,75000
 Toyota Camry Blue 2003,"3,650,000",Toyota,Camry,2003,,Automatic,,Petrol,,Mainland,114813
Mercedes A-Class 2002,"1,680,000",Mercedes,A -class,2002,,Manual,,Petrol,,Lagos,260000
Toyota Fj Cruiser 2008,"5,500,000",Toyota,FJ Cruiser,2008,,Automatic,,Petrol,,Lagos,56991
Toyota Hiace 2014,"12,500,000",Toyota,Hiace,2014,,Manual,,Petrol,,Lagos,53000
Toyota Landcruiser Prado 2012 model,"9,800,000",Toyota,Prado,2012,,Automatic,,Petrol,,Ikeja,66000
Lexus Es 2009,"3,500,000",Lexus,ES,2009,,Automatic,,Diesel,,Oshodi,66000
Bmw 3 Series- Direct 2009,"3,500,000",BMW,3,2009,,Automatic,,Petrol,,Abuja,105000
Volvo 140 1973,"850,000",Volvo,140,1973,,Manual,,Petrol,,Abakaliki,120
Toyota sienna,"6,500,000",Toyota,Sienna,2008,,Automatic,,Petrol,,Ojota,184625
ACURA TL,"3,500,000",Acura,TL,2002,,Automatic,,Petrol,,Ikeja,174628
2019 Toyota Prado VXL 4.0L 6cylinder,"37,500,000",Toyota,Prado,2018,,Automatic,,Petrol,,Island,40
Lexus,"3,500,000",Lexus,RX,2004,,Automatic,,Petrol,,Festac,52000
Neat 2009 Lexus GX 470,"5,000,000",Lexus,GX,2009,,Automatic,,Petrol,,Benin,89000
Lexus,"9,800,000",Lexus,LX,2014,,Automatic,,Petrol,,Ikeja,53000
Mercedes Benz GLK 350 2014,"10,000,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Ikeja,40000
Innoson G80 2017,"32,000,000",Other,Other,2017,,Automatic,,Petrol,,Abuja,40000
Innoson Granite Pickup 2017,"25,000,000",Other,Other,2017,,Manual,,Petrol,,Abuja,40000
Toyota Landcruiser Prado ,"32,000,000",Toyota,Prado,2018,,Automatic,,Petrol,,Ikeja,40000
Mercedes Benz Ml350 2013,"13,600,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Mainland,35366
Toyota Highlander Limited Edition 2019,"19,600,000",Toyota,Highlander,2018,,Automatic,,Petrol,,Warri,100000
 Toyota Tacoma 2006 ,"7,000,000",Toyota,Tacoma,2006,,Automatic,,Petrol,,Warri,100000
Mercedes benz,"49,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,1
Porsche Panamera ,"28,000,000",Porsche,Panamera,2016,,Automatic,,Petrol,,Lekki,12932
Mercedes Benz,"55,000,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,12000
MERCEDES 450 GL 4 MATIC FOR SALE,"5,000,000",Mercedes,GL -class,2008,,Automatic,,Petrol,,Lagos,100000
Toyota 4runner 2011 for sale,"10,000,000",Toyota,4runner,2011,,Automatic,,Petrol,,Lagos,36000
2005 Toyota Camry,"9,500,000",Toyota,Camry,2005,,Automatic,,Petrol,,Lagos,000000
2014 Mercedes Benz S65 AMG,"25,000,000",Mercedes,S -class AMG,2014,,Automatic,,Petrol,,Lagos,11000
Toyota,"19,000,000",Toyota,Land Cruiser,2017,,Automatic,,Petrol,,Lekki,2500
Honda,"8,000,000",Honda,Civic,2013,,Automatic,,Petrol,,Ota,143046
Toyota,"5,000,000",Toyota,Corolla,2001,,Automatic,,Petrol,,Asaba,174529
Toyota Highlander 2010,"5,800,000",Toyota,Highlander,2010,,Automatic,,Petrol,,Ibadan,174529
Toyota,"8,500,000",Toyota,RAV4,2014,,Automatic,,Petrol,,Isolo,62461
