title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
Foreign used 2018 Mercedes Benz GLE350 4Matic,"17,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,14000
Bmw X1 Series 2018,"19,500,000",BMW,X1,2018,,Automatic,,Petrol,,Abuja,14000
Mercedez Benz E550  2015,"24,000,000",Mercedes,E -class,2015,,Automatic,,Petrol,,Abuja,14000
Toyota Highlander 2009,"5,500,000",Toyota,Highlander,2009,,Automatic,,Petrol,,Lagos,14000
American used 2008 Toyota Highlander Sport ,"5,000,000",Toyota,Highlander,2008,,Automatic,,Petrol,,Ikeja,80000
Foreign used 2017 Mercedes Benz E300,"19,500,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Lekki,43000
Foreign used 2014 Mercedes Benz S500,"22,500,000",Mercedes,S -class AMG,2014,,Automatic,,Petrol,,Lekki,41000
2013 Lexus ES350 ,"8,000,000",Lexus,ES,2013,,Automatic,,Petrol,,Mainland,29300
Foreign used 2004 Toyota Highlander ,"2,650,000",Toyota,Highlander,2004,,Automatic,,Petrol,,Ikeja,95000
Foreign used 2012 Mercedes Benz ML350,"9,800,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Lekki,60000
Foreign used 2015 Mercedes Benz ML350 4Matic on AMG Kit,"14,000,000",Mercedes,ML -class AMG,2015,,Automatic,,Petrol,,Lekki,50000
2013 Honda Crosstour,"7,500,000",Honda,Crosstour,2013,,Automatic,,Petrol,,Lagos,31000
Nigerian used 2004 Lexus RX330,"2,500,000",Lexus,RX,2004,,Automatic,,Petrol,,Lekki,122000
Foreign used 2018 Toyota Camry SE,"16,000,000",Toyota,Camry,2018,,Automatic,,Petrol,,Lekki,34000
Nigerian used 2017 Lexus RX350,"14,000,000",Lexus,RX,2017,,Automatic,,Petrol,,Lekki,11000
Foreign used 2011 Bentley GT ,"30,000,000",Bentley,Continental,2011,,Automatic,,Petrol,,Lekki,12000
Foreign used 2018 Lexus RX350 F-Sport,"19,000,000",Lexus,RX,2018,,Automatic,,Petrol,,Lekki,33000
Foreign used 2014 Mercedes Benz S550,"30,500,000",Mercedes,S -class,2014,,Automatic,,Petrol,,Lekki,47000
Foreign Used 2015 Toyota Venza,"7,350,000",Toyota,Venza,2015,,Automatic,,Petrol,,Lekki,50000
Foreign used 2009 Toyota Venza LE,"5,250,000",Toyota,Venza,2009,,Automatic,,Petrol,,Lekki,99000
Foreign used 2017 Mercedes Benz GLE43 AMG,"30,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,22000
Foreign used 2015 Mercedes Benz G63 AMG [RENNtech Edition],"45,000,000",Mercedes,G -class AMG,2015,,Automatic,,Petrol,,Lekki,26000
2016 Honda Accord,"7,200,000",Honda,Accord,2016,,Automatic,,Petrol,,Abuja,65000
Foreign used 2018 Range Rover Velar,"40,000,000",Land rover,Range Rover,2018,,Automatic,,Petrol,,Lekki,2000
Foreign used 2014 Lexus IS250,"9,000,000",Lexus,IS,2014,,Automatic,,Petrol,,Lekki,70000
2015 Lexus RX350,"6,900,000",Lexus,RX,2015,,Automatic,,Petrol,,Lekki,70000
 2015 Honda  Accord,"6,000,000",Honda,Accord,2015,,Automatic,,Petrol,,Lekki,69000
 Honda Civic 2017,"1,650,000",Honda,Civic,2017,,Automatic,,Petrol,,Lagos,037375
Foreign used 2012 Mercedes Benz ML350 Facelifted to GLE350,"13,000,000",Mercedes,GL -class,2012,,Automatic,,Petrol,,Lekki,70000
Foreign used 2016 Mercedes Benz C63s AMG,"26,500,000",Mercedes,C -class AMG,2016,,Automatic,,Petrol,,Lekki,27000
Mercedes,"22,000,000",Mercedes,S -class,2016,,Automatic,,Petrol,,Island,20000
Lexus,"9,700,000",Lexus,ES,2013,,Automatic,,Petrol,,Gwarinpa,60000
Foreign used 2012 Mercedes Benz ML350 Facelifted to 2016 GLE,"10,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,60000
Foreign used 2018 Mercedes Benz GLE350,"19,500,000",Mercedes,GL -class,2018,,Automatic,,Petrol,,Lekki,14000
Toyota,"18,000,000",Toyota,Prado,2017,,Automatic,,Petrol,,Abuja,80000
Toyota,"15,500,000",Toyota,Hilux,2018,,Automatic,,Petrol,,Abuja,157
Foreign Used 2016 Honda Accord Exl,"8,200,000",Honda,Accord,2016,,Automatic,,Petrol,,Lekki,36000
Foreign used 2017 Mercedes Benz C300 4Matic Coupe,"14,200,000",Mercedes,C -class,2017,,Automatic,,Petrol,,Lekki,9600
New 2019 Mercedes Benz S450,"80,000,000",Mercedes,S -class,2018,,Automatic,,Petrol,,Lekki,9600
Foreign used 2019 Honda Accord Touring,"14,000,000",Honda,Accord,2018,,Automatic,,Petrol,,Lekki,2000
Foreign used 2015 Mercedes Benz C300,"10,500,000",Mercedes,C -class,2015,,Automatic,,Petrol,,Lekki,55000
Foreign used 2016 Mercedes Benz GLE350 4Matic,"16,500,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,60000
Toyota,"15,500,000",Toyota,Hilux,2018,,Automatic,,Petrol,,Abuja,365
Toyota Land Cruiser Prado VX 2017,"19,500,000",Toyota,Land Cruiser,2017,,Automatic,,Petrol,,Abuja,7600
2015 Mercedes Benz CLA250 4MATIC ,"8,850,000",Mercedes,CL -class,2015,,Automatic,,Petrol,,Lekki,38000
Foreign used 2018 Toyota Landcruiser Prado TXL,"28,000,000",Toyota,Land Cruiser,2018,,Automatic,,Petrol,,Lekki,76000
Foreign used 2016 Mercedes Benz GLE450 4Matic,"25,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,42000
Foreign used 2004 Lexus ES330,"2,500,000",Lexus,ES,2004,,Automatic,,Petrol,,Lekki,95000
Mercedes,"17,000,000",Mercedes,CL -class,2014,,Automatic,,Petrol,,Island,12000
Foreign used 2015 Mercedes Benz C300 4Matic,"10,300,000",Mercedes,C -class,2015,,Automatic,,Petrol,,Lekki,69000
Foreign used 2018 Honda Accord Sport ,"12,800,000",Honda,Accord,2018,,Automatic,,Petrol,,Lekki,15000
Foreign used 2018 Honda Accord Touring,"14,600,000",Honda,Accord,2018,,Automatic,,Petrol,,Lekki,7000
 2015 Mercedes Benz C300,"9,500,000",Mercedes,C -class,2015,,Automatic,,Petrol,,Lekki,83000
American used 2012 Mercedes Benz ML350,"10,000,000",Mercedes,ML -class AMG,2012,,Automatic,,Petrol,,Ikeja,70000
Foreign used 2018 Lexus LX570,"38,000,000",Lexus,LX,2018,,Automatic,,Petrol,,Lekki,12000
Foreign used 2013 Facelifted to 2019 Lexus GX460,"17,200,000",Lexus,GX,2018,,Automatic,,Petrol,,Lekki,75000
Foreign used 2014 Mercedes Benz GLK350 4Matic,"9,800,000",Mercedes,GLK -class,2014,,Automatic,,Petrol,,Lekki,55000
Nigerian used 2017 Mercedes Benz E300,"16,000,000",Mercedes,E -class,2017,,Automatic,,Petrol,,Lekki,40000
Nigerian used 2017 Mercedes Benz E300,"13,300,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,30000
Mercedes,"17,999,999",Mercedes,CL -class,2014,,Automatic,,Petrol,,Island,8000
 2008 Facelifted to 2015 Lexus IS250,"3,300,000",Lexus,IS,2015,,Automatic,,Petrol,,Lekki,85000
Toyota Camry 1999 4plugs ,"680,000",Toyota,Camry,1999,,Automatic,,Petrol,,Harcourt,120000
Foreign used 2017 Mercedes Benz GLE43 facelifted to GLE63,"26,200,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,40000
Foreign used 2017 Mercedes Benz GLS450 4Matic,"38,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,30000
Foreign used 2014 Mercedes Benz S550 4Matic,"26,000,000",Mercedes,S -class,2014,,Automatic,,Petrol,,Lekki,36000
Foreign used 2017 Mercedes Benz GLE43 AMG,"26,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,2600
